year,type,discipline,event,as,athlete_id,noc,team,place,tied,medal
1964.0,Winter,Biathlon,"20 kilometres, Men (Olympic)",Sture Ohlin,95994,SWE,,12.0,False,
1968.0,Winter,Ski Jumping (Skiing),"Normal Hill, Individual, Men (Olympic)",Henrik Ohlmeyer,95995,FRG,,28.0,False,
1968.0,Winter,Ski Jumping (Skiing),"Large Hill, Individual, Men (Olympic)",Henrik Ohlmeyer,95995,FRG,,33.0,False,
1976.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Fritz Ohlwärter,95996,FRG,Georg Heibl,5.0,False,
1976.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Fritz Ohlwärter,95996,FRG,West Germany 2,5.0,False,
1994.0,Winter,Bobsleigh (Bobsleigh),"Two, Men (Olympic)",Takashi Ohori,95997,JPN,Toshio Wakita,19.0,False,
1994.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Takashi Ohori,95997,JPN,Japan,18.0,False,
1998.0,Winter,Bobsleigh (Bobsleigh),"Four, Men (Olympic)",Takashi Ohori,95997,JPN,Japan 1,15.0,False,
1968.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Toshimitsu Otsubo,95998,JPN,Japan,10.0,False,
1972.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Toshimitsu Otsubo,95998,JPN,Japan,9.0,False,
1976.0,Winter,Ice Hockey (Ice Hockey),"Ice Hockey, Men (Olympic)",Toshimitsu Otsubo,95998,JPN,Japan,9.0,False,
1972.0,Winter,Alpine Skiing (Skiing),"Downhill, Men (Olympic)",Masahiko Otsue,95999,JPN,,35.0,False,
1972.0,Winter,Alpine Skiing (Skiing),"Giant Slalom, Men (Olympic)",Masahiko Otsue,95999,JPN,,,False,
1968.0,Winter,Cross Country Skiing (Skiing),"15 kilometres, Men (Olympic)",Kalevi Oikarainen,96000,FIN,,10.0,False,
1968.0,Winter,Cross Country Skiing (Skiing),"30 kilometres, Men (Olympic)",Kalevi Oikarainen,96000,FIN,,7.0,False,
1968.0,Winter,Cross Country Skiing (Skiing),"4 × 10 kilometres Relay, Men (Olympic)",Kalevi Oikarainen,96000,FIN,Finland,3.0,False,Bronze
